fields.centroid;Année;Type EPCI;CODE GRAND SECTEUR;Code Departement;fields.nombre_de_mailles_secretisees;Nom COMMUNE;Nom Departement;Code EPCI;Code Region;Code COMMUNE;CODE SECTEUR NAF2;CODE CATEGORIE CONSOMMATION;Nb sites;Nom Region;Conso moyenne (MWh);Conso totale (MWh);Nom EPCI;geometry.type;geometry_coord;Superficie des logements 30 à 40 m2;Residences principales apres 2016;Residences principales de 2006 a 2015;Residences principales de 1991 a 2005;Superficie des logements 60 à 80 m2;Residences principales de 1946 a 1970;Residences principales avant 1919;Residences principales de 1971 a 1990;Superficie des logements 40 à 60 m2;Superficie des logements < 30 m2;Nombre d'habitants;Taux de logements collectifs;Residences principales de 1919 a 1945;Superficie des logements > 100 m2;Taux de résidences principales;Superficie des logements 80 à 100 m2;Taux de chauffage électrique;Conso moyenne usages thermosensibles (MWh);Conso moyenne corrigée de l'aléa climatique  usages thermosensibles (MWh);DJU à TR;Conso totale corrigée de l'aléa climatique  usages thermosensibles (MWh);Part thermosensible (%);Conso totale  usages thermosensibles (MWh);Thermosensibilité totale (kWh/DJU);Conso totale  usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh/DJU);Conso moyenne  usages non thermosensibles (MWh);DJU à TN
[45.638132633, 6.327150608];2018;CA;TERTIAIRE;73;0;Tournon;Savoie;200068997;84;73297;47;ENT;3.0;Auvergne-Rhône-Alpes;565.8259576150424;1697.4778728451272;CA Arlysère;Point;[6.327150608, 45.638132633];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.638132633, 6.327150608];2018;CA;INDUSTRIE;73;0;Tournon;Savoie;200068997;84;73297;;PRO;5.0;Auvergne-Rhône-Alpes;12.916259829454981;64.5812991472749;CA Arlysère;Point;[6.327150608, 45.638132633];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.638132633, 6.327150608];2018;CA;RESIDENTIEL;73;0;Tournon;Savoie;200068997;84;73297;;RES;269.0;Auvergne-Rhône-Alpes;6.7832785380404905;1824.701926732892;CA Arlysère;Point;[6.327150608, 45.638132633];1.26048634064666;10.5042552637743;7.56300479747374;26.0504125133384;14.2857142857143;10.0840208555639;17.6470690298346;24.3697351412782;4.20169343015034;0.420147654616592;587.0;8.02867152242975;3.78150239873687;55.0420321161804;97.3688145094054;24.7899261726917;32.3529309701654;;;;;;;;;;;
[45.674848705, 5.888925437];2018;CA;TERTIAIRE;73;0;Tresserve;Savoie;200068674;84;73300;68;ENT;3.0;Auvergne-Rhône-Alpes;123.8031466364895;371.4094399094685;CA Grand Lac - CA du Lac du Bourget;Point;[5.888925437, 45.674848705];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.674848705, 5.888925437];2018;CA;AGRICULTURE;73;1;Tresserve;Savoie;200068674;84;73300;;PRO;;Auvergne-Rhône-Alpes;;;CA Grand Lac - CA du Lac du Bourget;Point;[5.888925437, 45.674848705];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.674848705, 5.888925437];2018;CA;INDUSTRIE;73;0;Tresserve;Savoie;200068674;84;73300;;PRO;7.0;Auvergne-Rhône-Alpes;7.475080971807207;52.32556680265045;CA Grand Lac - CA du Lac du Bourget;Point;[5.888925437, 45.674848705];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.772226686, 6.432626165];2018;CA;INDUSTRIE;73;0;Ugine;Savoie;200068997;84;73303;24;ENT;1.0;Auvergne-Rhône-Alpes;435.4389128663169;435.4389128663169;CA Arlysère;Point;[6.432626165, 45.772226686];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.772226686, 6.432626165];2018;CA;TERTIAIRE;73;0;Ugine;Savoie;200068997;84;73303;47;ENT;4.0;Auvergne-Rhône-Alpes;462.1341713140775;1848.53668525631;CA Arlysère;Point;[6.432626165, 45.772226686];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.772226686, 6.432626165];2018;CA;RESIDENTIEL;73;0;Ugine;Savoie;200068997;84;73303;;RES;3872.0;Auvergne-Rhône-Alpes;3.8650888983826106;14965.624214537467;CA Arlysère;Point;[6.432626165, 45.772226686];6.0317776420281;0.272147220525353;5.1510384850336;11.4227306047648;30.6712675626145;40.0523762981063;8.65672571777642;24.7480849114233;18.2172327428222;1.80989004276115;7019.0;55.671727910582;9.69689676237019;20.1145784972511;93.7758123365547;23.1552474037874;18.4431765424557;1.3119638032814058;1.3982225979041865;2092.1090833333337;5413.91789908501;33.94;5079.923846305603;2428.135266356101;2.5531250951012048;0.6271010501952741;9885.700368231865;2229.660750000007
[45.277005197, 6.86952555];2018;CC;TERTIAIRE;73;0;Val-Cenis;Savoie;200070340;84;73290;49;ENT;10.0;Auvergne-Rhône-Alpes;511.2499874707275;5112.499874707275;CC Haute-Maurienne Vanoise;Point;[6.86952555, 45.277005197];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.277005197, 6.86952555];2018;CC;TERTIAIRE;73;0;Val-Cenis;Savoie;200070340;84;73290;64;ENT;1.0;Auvergne-Rhône-Alpes;22.529207994736815;22.529207994736815;CC Haute-Maurienne Vanoise;Point;[6.86952555, 45.277005197];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.277005197, 6.86952555];2018;CC;AGRICULTURE;73;0;Val-Cenis;Savoie;200070340;84;73290;;PRO;28.0;Auvergne-Rhône-Alpes;12.351381142553832;345.8386719915073;CC Haute-Maurienne Vanoise;Point;[6.86952555, 45.277005197];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.431031377, 6.998431082];2018;CC;AGRICULTURE;73;0;Val-d'Isère;Savoie;247300254;84;73304;01;ENT;1.0;Auvergne-Rhône-Alpes;139.0788762343814;139.0788762343814;CC de Haute-Tarentaise;Point;[6.998431082, 45.431031377];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.431031377, 6.998431082];2018;CC;INDUSTRIE;73;0;Val-d'Isère;Savoie;247300254;84;73304;10;ENT;3.0;Auvergne-Rhône-Alpes;205.57701237774893;616.7310371332468;CC de Haute-Tarentaise;Point;[6.998431082, 45.431031377];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.686373528, 6.417900522];2018;CA;RESIDENTIEL;73;0;Venthon;Savoie;200068997;84;73308;;RES;291.0;Auvergne-Rhône-Alpes;7.1245245657571115;2073.2366486353194;CA Arlysère;Point;[6.417900522, 45.686373528];3.73135098385634;2.23881823354899;5.59702647578451;18.283573961485;18.283573961485;25.3731331875768;10.0746247267066;32.0895496720479;7.83580649315758;1.11939000868654;620.0;22.9495187796574;6.34327374285023;40.2984989068263;93.0990131841108;28.7313414298124;31.3432641888062;;;;;;;;;;;
[45.663498428, 6.289358228];2018;CA;TERTIAIRE;73;0;Verrens-Arvey;Savoie;200068997;84;73312;;PRO;22.0;Auvergne-Rhône-Alpes;6.949768291941806;152.89490242271972;CA Arlysère;Point;[6.289358228, 45.663498428];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.514325346, 6.139323323];2018;CC;RESIDENTIEL;73;0;Villard-d'Héry;Savoie;200041010;84;73314;;RES;116.0;Auvergne-Rhône-Alpes;7.590230527511761;880.4667411913643;CC Coeur de Savoie;Point;[6.139323323, 45.514325346];0.0;2.97017866459989;15.841628294556;20.7920611522271;5.94055995420675;11.881221220917;15.841628294556;24.7524682258661;3.96040707363899;0.0;258.0;2.80057772613417;7.92081414727799;53.4653435253712;92.0386899211506;36.6336894467831;22.7723153452983;;;;;;;;;;;
[45.727820767, 6.519059931];2018;CA;TERTIAIRE;73;0;Villard-sur-Doron;Savoie;200068997;84;73317;64;ENT;2.0;Auvergne-Rhône-Alpes;244.36446171955154;488.7289234391031;CA Arlysère;Point;[6.519059931, 45.727820767];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.727820767, 6.519059931];2018;CA;TERTIAIRE;73;0;Villard-sur-Doron;Savoie;200068997;84;73317;68;ENT;12.0;Auvergne-Rhône-Alpes;127.27711680158033;1527.325401618964;CA Arlysère;Point;[6.519059931, 45.727820767];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.538586828, 5.85024704];2018;CA;TERTIAIRE;73;0;Vimines;Savoie;200069110;84;73326;84;ENT;3.0;Auvergne-Rhône-Alpes;44.41066786323003;133.2320035896901;CA Chambéry Métropole-Coeur des Bauges;Point;[5.85024704, 45.538586828];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.538586828, 5.85024704];2018;CA;INCONNU;73;0;Vimines;Savoie;200069110;84;73326;;PRO;16.0;Auvergne-Rhône-Alpes;7.138866434001068;114.22186294401709;CA Chambéry Métropole-Coeur des Bauges;Point;[5.85024704, 45.538586828];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.538586828, 5.85024704];2018;CA;TERTIAIRE;73;0;Vimines;Savoie;200069110;84;73326;;PRO;31.0;Auvergne-Rhône-Alpes;6.587316234444444;204.20680326777776;CA Chambéry Métropole-Coeur des Bauges;Point;[5.85024704, 45.538586828];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.650617932, 5.896469869];2018;CA;INDUSTRIE;73;0;Viviers-du-Lac;Savoie;200068674;84;73328;10;ENT;2.0;Auvergne-Rhône-Alpes;263.1253086789701;526.2506173579402;CA Grand Lac - CA du Lac du Bourget;Point;[5.896469869, 45.650617932];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.650617932, 5.896469869];2018;CA;INDUSTRIE;73;0;Viviers-du-Lac;Savoie;200068674;84;73328;41;ENT;2.0;Auvergne-Rhône-Alpes;31.27458333333333;62.54916666666666;CA Grand Lac - CA du Lac du Bourget;Point;[5.896469869, 45.650617932];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.650617932, 5.896469869];2018;CA;TERTIAIRE;73;0;Viviers-du-Lac;Savoie;200068674;84;73328;33;ENT;1.0;Auvergne-Rhône-Alpes;159.33201869054338;159.33201869054338;CA Grand Lac - CA du Lac du Bourget;Point;[5.896469869, 45.650617932];;;;;;;;;;;;;;;;;;;;;;;;;;;;
